<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TATN;D;240919;000000;628.1;630.6;620.4;624.2;3144668
TATN;D;240920;000000;624.6;633.6;624.5;631.7;2223791
TATN;D;240923;000000;633.3;647.7;633;641.1;2773400
TATN;D;240924;000000;644;647;633.3;642;2734213
TATN;D;240925;000000;643.7;647.5;635.5;640;2439430
TATN;D;240926;000000;639.2;645.9;633.6;639.5;1946820
TATN;D;240927;000000;640.2;644.7;640.1;644;955057
TATN;D;240930;000000;646.9;650;639.2;641.4;1801984
TATN;D;241001;000000;642.5;649.1;635.5;646.6;1842640
TATN;D;241002;000000;649;665.1;639.6;649.7;5221725
TATN;D;241003;000000;649.5;652;636;649;3576491
TATN;D;241004;000000;649.7;661.7;648.1;659.1;2606782
TATN;D;241007;000000;660.6;663;651.8;661.9;3279888
TATN;D;241008;000000;627.5;631;619.2;622.6;6169705
TATN;D;241009;000000;622.7;624.6;608.3;613.2;2566104
TATN;D;241010;000000;613.3;621.4;610.4;618.8;1700400
TATN;D;241011;000000;618.5;619.9;611;614.3;1592635
TATN;D;241014;000000;611;615;602.3;610.6;3809237
TATN;D;241015;000000;609.9;613.4;603.5;608.6;3001825
TATN;D;241016;000000;609.1;611.9;594.2;603.1;3479952
TATN;D;241017;000000;603;603.8;591.8;593;2211948
TATN;D;241018;000000;593;596.7;589.3;595.8;2188041
TATN;D;241021;000000;595.9;597.6;591.3;595.2;1345925
TATN;D;241022;000000;594.5;600.5;591.7;592.9;1692333
TATN;D;241023;000000;592.3;594;585;587;1501395
TATN;D;241024;000000;586.6;588.7;575.2;586.6;1990366
TATN;D;241025;000000;586;589.5;572.2;572.4;3769016
TATN;D;241028;000000;569.4;573.5;540.5;542.4;4181940
TATN;D;241029;000000;542.4;555;542.1;547.2;3505368
TATN;D;241030;000000;548.9;552.7;538.1;538.3;3063994
TATN;D;241031;000000;533;546.7;530;536;3110428
TATN;D;241101;000000;536.7;545;532.2;536;3214894
TATN;D;241102;000000;536;550.7;536;550.5;1668044
TATN;D;241105;000000;552.2;558;548;548.4;3064374
TATN;D;241106;000000;557.2;576;554.1;567.6;3555291
TATN;D;241107;000000;568.7;580;557.3;578;4082055
TATN;D;241108;000000;580.6;596;572.6;595.5;3780251
TATN;D;241111;000000;599.2;604.5;588.8;592;5358247
